test_lbfgsb_hessinv.py ,5
test_lbfgsb_setulb.py ,1
test_least_squares.py ,137
test_linear_assignment.py ,13
test_linesearch.py ,52
test_linprog.py ,234
test_lsq_common.py ,86
test_lsq_linear.py ,27
test_milp.py ,42
test_minimize_constrained.py ,31
test_minpack.py ,111
test_nnls.py ,5
test_nonlin.py ,40
test_optimize.py ,320
test_quadratic_assignment.py ,33
test_regression.py ,5
test_slsqp.py ,97
test_tnc.py ,23
test_trustregion.py ,18
test_trustregion_exact.py ,24
test_trustregion_krylov.py ,25
test_zeros.py ,75
test__basinhopping.py ,48
test__differential_evolution.py ,257
test__dual_annealing.py ,45
test__linprog_clean_inputs.py ,106
test__numdiff.py ,111
test__remove_redundancy.py ,48
test__root.py ,6
test__shgo.py ,30
test__spectral.py ,16
test_canonical_constraint.py ,60
test_projections.py ,24
test_qp_subproblem.py ,128
test_report.py ,0
test_array_tools.py ,22
test_bsplines.py ,25
test_cont2discrete.py ,70
test_czt.py ,23
test_dltisys.py ,112
test_filter_design.py ,674
test_fir_filter_design.py ,121
test_ltisys.py ,265
test_max_len_seq.py ,12
test_peak_finding.py ,135
test_result_type.py ,11
test_savitzky_golay.py ,46
test_signaltools.py ,580
test_spectral.py ,279
test_upfirdn.py ,23
test_waveforms.py ,44
test_wavelets.py ,35
test_windows.py ,148
test_connected_components.py ,15
test_conversions.py ,6
test_flow.py ,18
test_graph_laplacian.py ,41
test_matching.py ,31
test_reordering.py ,8
test_shortest_path.py ,26
test_spanning_tree.py ,6
test_traversal.py ,5
test_expm_multiply.py ,21
test_interface.py ,119
test_matfuncs.py ,54
test_norm.py ,45
test_onenormest.py ,23
test_propack.py ,13
test_pydata_sparse.py ,39
test_linsolve.py ,86
test_arpack.py ,38
test_lobpcg.py ,29
test_svds.py ,61
test_gcrotmk.py ,26
test_iterative.py ,79
test_lgmres.py ,30
test_lsmr.py ,22
test_lsqr.py ,14
test_minres.py ,12
test_utils.py ,2
test_array_api.py ,40
test_base.py ,1012
test_construct.py ,101
test_csc.py ,9
test_csr.py ,12
test_extract.py ,4
test_matrix_io.py ,11
test_sparsetools.py ,22
test_spfuncs.py ,12
test_sputils.py ,69
test_distance.py ,305
test_hausdorff.py ,16
test_kdtree.py ,193
test_qhull.py ,112
test_slerp.py ,14
test_spherical_voronoi.py ,42
test__plotutils.py ,5
test__procrustes.py ,15
test_rotation.py ,183
test_rotation_groups.py ,12
test_rotation_spline.py ,21
_mptestutils.py ,7
_testutils.py ,5
test_basic.py ,838
test_bdtr.py ,19
test_boxcox.py ,18
test_cdflib.py ,23
test_cdft_asymptotic.py ,7
test_cosine_distr.py ,6
test_cython_special.py ,2
test_data.py ,0
test_digamma.py ,3
test_ellip_harm.py ,15
test_erfinv.py ,6
test_exponential_integrals.py ,11
test_faddeeva.py ,6
test_gamma.py ,2
test_gammainc.py ,19
test_hyp2f1.py ,21
test_hypergeometric.py ,13
test_kolmogorov.py ,8
test_lambertw.py ,13
test_loggamma.py ,5
test_logit.py ,16
test_logsumexp.py ,44
test_log_softmax.py ,9
test_mpmath.py ,170
test_nan_inputs.py ,3
test_ndtr.py ,10
test_ndtri_exp.py ,7
test_orthogonal.py ,171
test_orthogonal_eval.py ,11
test_owens_t.py ,19
test_pcf.py ,3
test_pdtr.py ,11
test_precompute_expn_asy.py ,2
test_precompute_gammainc.py ,7
test_precompute_utils.py ,3
test_round.py ,0
test_sf_error.py ,17
test_sici.py ,0
test_spence.py ,0
test_spfun_stats.py ,8
test_spherical_bessel.py ,46
test_sph_harm.py ,2
test_trig.py ,13
test_wrightomega.py ,18
test_wright_bessel.py ,7
test_zeta.py ,15
_binomtest.py ,0
_hypotests.py ,2
_hypotests_pythran.py ,0
_page_trend_test.py ,0
common_tests.py ,79
test_axis_nan_policy.py ,53
test_binned_statistic.py ,99
test_contingency.py ,42
test_continuous_basic.py ,87
test_crosstab.py ,19
test_discrete_basic.py ,65
test_discrete_distns.py ,59
test_distributions.py ,1159
test_entropy.py ,37
test_fit.py ,25
test_hypotests.py ,228
test_kdeoth.py ,56
test_morestats.py ,435
test_mstats_basic.py ,367
test_mstats_extras.py ,27
test_multivariate.py ,340
test_qmc.py ,154
test_rank.py ,31
test_relative_risk.py ,13
test_resampling.py ,123
test_sampling.py ,47
test_stats.py ,1394
test_tukeylambda_stats.py ,15
test_variation.py ,20
test_scipy_version.py ,2
_testutils.py ,0
test_bunch.py ,40
test_ccallback.py ,14
test_deprecation.py ,1
test_import_cycles.py ,0
test_public_api.py ,1
test_tmpdirs.py ,11
test_warnings.py ,0
test__gcutils.py ,21
test__pep440.py ,25
test__testutils.py ,3
test__threadsafety.py ,6
test__util.py ,65
validate_runtests_log.py ,0
